Zeitschienen,SRG SSR Total,SRF Total,SRF 1,SRF zwei,SRF info,RTS 1,RSI LA 1,Restliche SRG SSR,Andere Sender,Facts,Aktivitäten,Zielgruppe,Region,Jahr,Zeitintervall
08:15:00 - 08:30:00,21.904721058,21.689586317,12.158782462,6.669742431,2.861061423,0.035483948,0.008311945,0.171338848,72.914973018,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
08:30:00 - 08:45:00,21.149803429,20.894954163,10.779549298,7.476870783,2.638534081,0.032734603,0.011767422,0.210347241,79.658131991,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
08:45:00 - 09:00:00,21.258577576,20.864114294,9.558185094,8.669729381,2.63619982,0.024838042,0.202855636,0.166769604,81.240308124,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
09:00:00 - 09:15:00,22.894873955,22.374225077,8.224682541,11.517539003,2.632003533,0.036859214,0.309110911,0.174678753,87.365734185,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
09:15:00 - 09:30:00,26.843946242,26.267645102,7.719472217,15.822762592,2.725410292,0.054657167,0.327396559,0.194247415,88.872566914,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
09:30:00 - 09:45:00,31.667759201,31.158583695,8.070345601,20.074345146,3.013892949,0.08652753,0.109992812,0.312655164,95.951286278,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
09:45:00 - 10:00:00,36.094094786,35.542832767,8.514162495,23.480828634,3.547841638,0.099133234,0.061838203,0.390290583,103.566708161,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
10:00:00 - 10:15:00,42.230019483,41.670418438,8.988852429,27.777870219,4.90369579,0.11806182,0.075116029,0.366423195,112.907233145,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
10:15:00 - 10:30:00,46.802622209,46.263055757,9.009113391,31.885970682,5.367971684,0.119205726,0.082042721,0.338318005,109.689613555,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
10:30:00 - 10:45:00,52.290274221,51.752494543,8.714092414,38.042695297,4.995706831,0.127680629,0.051944764,0.358154285,116.451787503,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
10:45:00 - 11:00:00,54.77512672,54.165428843,8.091237781,41.279285852,4.794905209,0.145247442,0.059350372,0.405100063,119.82550313,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
11:00:00 - 11:15:00,59.264247655,58.614230041,8.887484782,44.514174259,5.212571,0.123328658,0.065707186,0.460981769,129.156662213,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
11:15:00 - 11:30:00,61.501116714,60.893564177,9.488075244,45.950853358,5.454635575,0.085501759,0.037684341,0.484366438,138.614596525,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
11:30:00 - 11:45:00,64.601670402,63.840457297,10.146437315,48.341295791,5.352724191,0.18822472,0.05732181,0.515666576,146.602160177,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
11:45:00 - 12:00:00,67.415543414,65.898775797,11.818390068,48.59378923,5.486596499,0.945189002,0.054689461,0.516889154,154.061416008,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
12:00:00 - 12:15:00,69.746860228,68.409360584,13.831064659,48.77366485,5.804631076,0.783796811,0.0547721,0.498930733,171.606191169,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
12:15:00 - 12:30:00,71.841719046,70.189967462,16.153251469,47.829521179,6.207194814,1.142793284,0.059230398,0.449727902,185.249638384,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
